gene	role	n_measurements	wu2025_dp_overlap
B2M	resister	18	NO
JAK1	resister	16	NO
JAK2	resister	16	NO
STAT1	resister	15	NO
HLA-A	resister	13	NO
IFNGR1	resister	13	NO
IFNGR2	resister	12	YES
TNFRSF1A	resister	12	YES
TAP1	resister	10	NO
TAP2	resister	10	NO
CASP8	resister	9	NO
TAPBP	resister	9	NO
MEN1	resister	8	YES
FADD	resister	7	NO
NF2	resister	7	NO
ADO	resister	6	NO
AXIN1	resister	6	NO
CALR	resister	6	NO
FAS	resister	6	YES
FBXW7	resister	6	NO
IFNAR1	resister	6	NO
KHDRBS1	resister	6	NO
KMT2A	resister	6	NO
MOGS	resister	6	NO
STAT2	resister	6	NO
TNFRSF1B	resister	6	NO
UBR5	resister	6	YES
WDR24	resister	6	NO
ARID2	resister	5	NO
DOT1L	resister	5	YES
EP300	resister	5	NO
ERP44	resister	5	NO
ICAM1	resister	5	NO
IFNAR2	resister	5	NO
IRF1	resister	5	NO
IRF2	resister	5	NO
NLRC5	resister	5	NO
PDIA3	resister	5	YES
TRADD	resister	5	NO
UBE2G2	resister	5	NO
UBE2J1	resister	5	NO
USP22	resister	5	NO
BRPF1	resister	4	NO
CD58	resister	4	NO
CHD8	resister	4	YES
DECR2	resister	4	NO
DERL2	resister	4	NO
DET1	resister	4	NO
DYRK1A	resister	4	NO
EHMT1	resister	4	YES
ELOF1	resister	4	NO
ERAP1	resister	4	NO
HMGB1	resister	4	NO
KAT6A	resister	4	NO
KCTD5	resister	4	NO
MLST8	resister	4	NO
MRGBP	resister	4	NO
MSRB1	resister	4	NO
MTOR	resister	4	NO
NAA30	resister	4	NO
NXT1	resister	4	NO
PDCD10	resister	4	NO
QKI	resister	4	NO
RBM15	resister	4	NO
REST	resister	4	YES
RFXANK	resister	4	NO
SEL1L	resister	4	YES
SMG7	resister	4	NO
SMG9	resister	4	NO
SPATA2	resister	4	NO
STK38	resister	4	NO
SYTL3	resister	4	NO
SYVN1	resister	4	YES
TADA1	resister	4	NO
TAF5L	resister	4	NO
TRIM28	resister	4	YES
USP24	resister	4	NO
VHL	resister	4	NO
WDR20	resister	4	YES
WDR48	resister	4	NO
ZCCHC14	resister	4	NO
ACAD9	resister	3	NO
ACTL6A	resister	3	NO
AJUBA	resister	3	NO
ALAS1	resister	3	YES
APC	resister	3	YES
ARHGAP35	resister	3	YES
ATXN7L3	resister	3	NO
BCL10	resister	3	NO
CARM1	resister	3	YES
CCNC	resister	3	YES
CDK12	resister	3	NO
CHUK	resister	3	NO
CMIP	resister	3	NO
CREBBP	resister	3	NO
CYB5R4	resister	3	NO
CYLD	resister	3	NO
DDX1	resister	3	NO
E4F1	resister	3	YES
EIF2AK2	resister	3	YES
EIF3H	resister	3	NO
EIF3L	resister	3	NO
ELAVL1	resister	3	NO
FBXO11	resister	3	NO
FLCN	resister	3	NO
GCN1L1	resister	3	NO
GPI	resister	3	YES
GTPBP3	resister	3	NO
HCFC2	resister	3	NO
HDGFRP2	resister	3	NO
HMBS	resister	3	YES
HNRNPA2B1	resister	3	NO
HUWE1	resister	3	NO
INTS12	resister	3	NO
IRF9	resister	3	NO
KDM4A	resister	3	YES
KIRREL	resister	3	NO
KMT2E	resister	3	NO
LAMTOR1	resister	3	NO
LAMTOR2	resister	3	NO
LAMTOR5	resister	3	NO
MAP4K4	resister	3	NO
MTF1	resister	3	NO
MYC	resister	3	NO
NDUFA13	resister	3	YES
NF1	resister	3	NO
NFE2L2	resister	3	NO
NFKB2	resister	3	NO
NIFK	resister	3	NO
NPLOC4	resister	3	NO
PBRM1	resister	3	NO
PGP	resister	3	NO
PI4KB	resister	3	NO
PPIL1	resister	3	NO
PPP6C	resister	3	YES
PRDM4	resister	3	YES
PRMT7	resister	3	NO
PSMB9	resister	3	NO
RCE1	resister	3	NO
RCOR1	resister	3	NO
RIPK1	resister	3	NO
RPLP0	resister	3	NO
RPSA	resister	3	NO
RRAGA	resister	3	NO
RRP12	resister	3	NO
RUNX2	resister	3	NO
SETD2	resister	3	NO
SHMT2	resister	3	NO
SLC4A7	resister	3	NO
SMARCB1	resister	3	NO
SMG8	resister	3	NO
SP1	resister	3	NO
SPRED1	resister	3	NO
SRPK1	resister	3	NO
SRSF7	resister	3	NO
STK40	resister	3	NO
SWI5	resister	3	YES
TADA2B	resister	3	NO
TAZ	resister	3	NO
TCEB3	resister	3	NO
TMED10	resister	3	NO
TNIK	resister	3	NO
TRAF3	resister	3	YES
TRMU	resister	3	NO
TYK2	resister	3	NO
UNKL	resister	3	NO
ABCC2	resister	2	YES
ABHD16A	resister	2	NO
ACTR6	resister	2	NO
ACVR1B	resister	2	NO
ACY1	resister	2	YES
AFF4	resister	2	NO
AGO4	resister	2	NO
AKT1	resister	2	NO
ALAD	resister	2	NO
ALG12	resister	2	NO
ALG3	resister	2	NO
ALG6	resister	2	NO
AMD1	resister	2	NO
AP1G1	resister	2	NO
AP2S1	resister	2	YES
ARID3B	resister	2	NO
ASH1L	resister	2	NO
ASH2L	resister	2	NO
ATE1	resister	2	NO
ATF1	resister	2	YES
ATIC	resister	2	NO
ATP5J	resister	2	NO
ATP6V0C	resister	2	NO
AUP1	resister	2	NO
AURKB	resister	2	NO
B3GALT4	resister	2	NO
BAIAP3	resister	2	NO
BAP1	resister	2	NO
BAX	resister	2	YES
BAZ1A	resister	2	NO
BBX	resister	2	NO
BOLA3	resister	2	YES
BRAF	resister	2	NO
BRAP	resister	2	NO
BSG	resister	2	YES
BTRC	resister	2	NO
C16orf13	resister	2	NO
C16orf72	resister	2	NO
C3orf17	resister	2	NO
C4A	resister	2	NO
C4B	resister	2	NO
C6orf136	resister	2	NO
CAPN15	resister	2	NO
CASP3	resister	2	NO
CBFB	resister	2	NO
CBLL1	resister	2	NO
CBX1	resister	2	NO
CCDC17	resister	2	YES
CCNF	resister	2	NO
CCNT1	resister	2	NO
CDC73	resister	2	NO
CDK5	resister	2	NO
CDK7	resister	2	YES
CDKN1A	resister	2	YES
CDT1	resister	2	YES
CHCHD5	resister	2	NO
CHD1	resister	2	NO
CHRAC1	resister	2	YES
CIC	resister	2	YES
CLK3	resister	2	NO
CNBP	resister	2	NO
CNEP1R1	resister	2	NO
CNOT11	resister	2	NO
COCH	resister	2	NO
COQ7	resister	2	NO
COX18	resister	2	NO
CRYAA	resister	2	NO
CS	resister	2	NO
