peak_id	direction	cytoband	q_value	residual_q	chrom	start	end	gene
amp:17q12	amp	17q12	2.66e-22	7.21e-20	17	37827871	37877201	ERBB2
amp:17q12	amp	17q12	2.66e-22	7.21e-20	17	37827871	37877201	PGAP3
amp:19q12	amp	19q12	1.83e-19	1.83e-19	19	30304858	30358071	CCNE1
amp:1p22.3	amp	1p22.3	1.32e-18	5.13e-18	1	85979933	86002734	DDAH1
amp:8q24.21	amp	8q24.21	3.19e-24	1.03e-16	8	129543769	129554481	hsa-mir-1208
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	LMNA
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	RIT1
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	SSR2
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	ARHGEF2
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	KIAA0907
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	SYT11
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	ROBLD3
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	GON4L
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	UBQLN4
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	RAB25
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	MEX3A
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	RXFP4
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	SCARNA4
amp:1q22	amp	1q22	2.64e-21	3.69e-14	1	155817553	156101508	SNORA42
amp:3q26.2	amp	3q26.2	1.71e-27	5.34e-14	3	168609009	168740350	C3orf50
amp:3q26.2#2	amp	3q26.2	3.8e-21	1.04e-08	3	169341872	169507091	MECOM
amp:3q26.2#2	amp	3q26.2	3.8e-21	1.04e-08	3	169341872	169507091	TERC
amp:3q26.2#2	amp	3q26.2	3.8e-21	1.04e-08	3	169341872	169507091	MYNN
amp:3q26.2#2	amp	3q26.2	3.8e-21	1.04e-08	3	169341872	169507091	ARPM1
amp:20q11.21	amp	20q11.21	6.66e-11	2.54e-08	20	30731473	30798667	PLAGL2
amp:20q11.21	amp	20q11.21	6.66e-11	2.54e-08	20	30731473	30798667	TM9SF4
amp:20q11.21	amp	20q11.21	6.66e-11	2.54e-08	20	30731473	30798667	POFUT1
amp:20q11.21	amp	20q11.21	6.66e-11	2.54e-08	20	30731473	30798667	TSPYL3
amp:19p13.2	amp	19p13.2	1.37e-08	2.57e-08	19	13252112	13500076	CACNA1A
amp:19p13.2	amp	19p13.2	1.37e-08	2.57e-08	19	13252112	13500076	STX10
amp:19p13.2	amp	19p13.2	1.37e-08	2.57e-08	19	13252112	13500076	IER2
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	hsa-mir-4257
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	ARNT
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	CTSK
