chrom	arm	start	end
chr1	1p	1	123000000
chr1	1q	123000000	249250621
chr2	2p	1	93800000
chr2	2q	93800000	243199373
chr3	3p	1	92000000
chr3	3q	92000000	198022430
chr4	4p	1	51200000
chr4	4q	51200000	191154276
chr5	5p	1	47900000
chr5	5q	47900000	180915260
chr6	6p	1	60300000
chr6	6q	60300000	171115067
chr7	7p	1	59600000
chr7	7q	59600000	159138663
chr8	8p	1	45300000
chr8	8q	45300000	146364022
chr9	9p	1	48900000
chr9	9q	48900000	141213431
chr10	10p	1	40800000
chr10	10q	40800000	135534747
chr11	11p	1	53100000
chr11	11q	53100000	135006516
chr12	12p	1	36400000
chr12	12q	36400000	133851895
chr13	13p	1	17500000
chr13	13q	17500000	115169878
chr14	14p	1	17500000
chr14	14q	17500000	107349540
chr15	15p	1	18500000
chr15	15q	18500000	102531392
chr16	16p	1	36800000
chr16	16q	36800000	90354753
chr17	17p	1	23800000
chr17	17q	23800000	81195210
chr18	18p	1	17000000
chr18	18q	17000000	78077248
chr19	19p	1	26200000
chr19	19q	26200000	59128983
chr20	20p	1	27900000
chr20	20q	27900000	63025520
chr21	21p	1	12800000
chr21	21q	12800000	48129895
chr22	22p	1	14500000
chr22	22q	14500000	51304566
chrX	Xp	1	60100000
chrX	Xq	60100000	155270560
chrY	Yp	1	11600000
chrY	Yq	11600000	59373566
